08:29.5,n_iraira1,0
09:40.6,n_iraira2,0
10:46.9,n_iraira3,3
12:01.8,n_iraira4,2
13:40.5,n_iraira5,8
15:04.6,n_puzzle1,0
16:14.2,n_puzzle2,0
17:33.1,n_puzzle3,1
18:54.1,n_puzzle4,1
20:26.5,n_puzzle5,1
37:22.0,iraira1-1,1
38:37.1,iraira1-2,2
39:56.6,iraira2-1,1
41:18.0,iraira2-2,1
43:06.6,iraira3-1,5
44:34.0,iraira3-2,3
00:44.2,iraira4-1,5
02:28.8,iraira4-2,4
04:46.2,iraira5-1,8
07:09.0,iraira5-2,11
24:33.1,puzzle1-1,2
26:40.4,puzzle1-2,1
29:05.1,puzzle2-1,3
31:08.3,puzzle2-2,0
33:18.0,puzzle3-1,1
35:30.2,puzzle3-2,0
37:36.7,puzzle4-1,0
39:28.0,puzzle4-2,0
41:48.6,puzzle5-1,3
44:26.3,puzzle5-2,3
